City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Yima,CN,34.7381,111.8839,295.0,61,0,3.36,clear sky,2022-09-14 01:09:00
1,Chara,RU,56.9064,118.2631,281.62,61,43,2.31,scattered clouds,2022-09-14 01:09:00
2,Embonas,GR,36.2269,27.8564,295.28,60,0,8.55,clear sky,2022-09-14 01:09:01
3,Cayenne,GF,4.9333,-52.3333,300.17,83,0,0.0,clear sky,2022-09-14 01:05:30
4,Atuona,PF,-9.8,-139.0333,297.9,69,0,5.58,clear sky,2022-09-14 01:09:02
5,Bengkulu,ID,-3.8004,102.2655,297.54,85,100,1.07,overcast clouds,2022-09-14 01:09:02
6,Vaini,TO,-21.2,-175.2,301.24,74,20,2.57,few clouds,2022-09-14 01:09:04
7,Cherskiy,RU,68.75,161.3,275.84,87,100,2.77,overcast clouds,2022-09-14 01:09:04
8,Palmer,US,42.1584,-72.3287,295.37,86,75,0.0,broken clouds,2022-09-14 01:09:05
9,Rio Grande,BR,-32.035,-52.0986,287.01,89,99,5.75,overcast clouds,2022-09-14 01:09:05
10,Rikitea,PF,-23.1203,-134.9692,295.63,71,100,3.47,light rain,2022-09-14 01:09:06
11,Ribeira Grande,PT,38.5167,-28.7,297.28,88,13,5.36,light rain,2022-09-14 01:09:06
12,Saint-Pierre,RE,-21.3393,55.4781,292.97,56,0,4.12,clear sky,2022-09-14 01:09:07
13,Northam,GB,51.0333,-4.2167,287.73,95,100,3.26,overcast clouds,2022-09-14 01:09:08
14,Yuli,NG,9.6989,10.2744,294.87,91,100,1.07,overcast clouds,2022-09-14 01:09:09
15,Albany,US,42.6001,-73.9662,290.4,89,60,2.06,broken clouds,2022-09-14 01:08:58
16,East London,ZA,-33.0153,27.9116,287.78,74,0,3.9,clear sky,2022-09-14 01:09:09
17,Busselton,AU,-33.65,115.3333,286.57,71,97,7.9,overcast clouds,2022-09-14 01:09:10
18,Richards Bay,ZA,-28.783,32.0377,290.66,87,100,2.2,overcast clouds,2022-09-14 01:09:10
19,Stephenville Crossing,CA,48.5,-58.4318,288.33,85,100,0.99,overcast clouds,2022-09-14 01:09:11
20,Mataura,NZ,-46.1927,168.8643,282.86,74,91,2.34,overcast clouds,2022-09-14 01:09:11
21,Arraial Do Cabo,BR,-22.9661,-42.0278,294.6,82,98,8.62,overcast clouds,2022-09-14 01:09:11
22,Magadan,RU,59.5667,150.8,284.56,51,100,2.32,overcast clouds,2022-09-14 01:09:12
23,Ginda,IN,30.6945,78.4932,290.63,88,98,0.43,overcast clouds,2022-09-14 01:09:13
24,Dingle,PH,10.9995,122.6711,302.77,74,10,4.54,clear sky,2022-09-14 01:09:14
25,Kashi,CN,39.4547,75.9797,292.74,36,44,1.97,scattered clouds,2022-09-14 01:09:14
26,Norman Wells,CA,65.282,-126.8329,288.02,45,100,2.5,overcast clouds,2022-09-14 01:09:15
27,Faanui,PF,-16.4833,-151.75,299.05,74,100,9.46,overcast clouds,2022-09-14 01:09:15
28,Jamestown,US,42.097,-79.2353,288.55,71,75,4.12,broken clouds,2022-09-14 01:09:16
29,Chuy,UY,-33.6971,-53.4616,284.23,95,6,3.6,clear sky,2022-09-14 01:09:16
30,Jingdezhen,CN,29.2947,117.2079,300.06,65,7,3.06,clear sky,2022-09-14 01:09:16
31,Tres Passos,BR,-27.4556,-53.9319,284.77,87,3,2.16,clear sky,2022-09-14 01:09:17
32,Meulaboh,ID,4.1363,96.1285,298.1,85,92,1.13,overcast clouds,2022-09-14 01:09:17
33,New Norfolk,AU,-42.7826,147.0587,285.21,56,5,0.89,clear sky,2022-09-14 01:09:18
