City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Yima,CN,75.83,clear sky,34.7381,111.8839,Yima Hotel
2,Embonas,GR,71.83,clear sky,36.2269,27.8564,Hotel Ataviros
3,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
4,Atuona,PF,76.48,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
5,Bengkulu,ID,80.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
6,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
8,Palmer,US,69.46,scattered clouds,42.1584,-72.3287,Wedgewood Motel
9,Rio Grande,BR,56.95,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
10,Rikitea,PF,72.25,light rain,-23.1203,-134.9692,People ThankYou
11,Ribeira Grande,PT,74.8,moderate rain,38.5167,-28.7,Quinta da Meia Eira
12,Saint-Pierre,RE,65.88,clear sky,-21.3393,55.4781,Alize Plage
13,Northam,GB,57.61,overcast clouds,51.0333,-4.2167,Durrant House Hotel
14,Yuli,NG,69.84,overcast clouds,9.6989,10.2744,
15,Albany,US,60.39,scattered clouds,42.6001,-73.9662,
16,East London,ZA,58.05,clear sky,-33.0153,27.9116,Tu Casa
17,Busselton,AU,56.89,overcast clouds,-33.65,115.3333,Observatory Guest House
18,Richards Bay,ZA,63.39,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
19,Stephenville Crossing,CA,57.33,scattered clouds,48.5,-58.4318,Henrieta's Hospitality Home
21,Arraial Do Cabo,BR,70.05,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
23,Ginda,IN,66.4,moderate rain,30.6945,78.4932,Bhandari hi tech plant nursary.
24,Dingle,PH,87.08,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
25,Kashi,CN,70.81,dust,39.4547,75.9797,帕米尔青年旅舍
26,Norman Wells,CA,57.24,broken clouds,65.282,-126.8329,Heritage Hotel
27,Faanui,PF,78.6,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Jamestown,US,57.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
30,Jingdezhen,CN,86.29,few clouds,29.2947,117.2079,Garden Hotel
32,Meulaboh,ID,81.09,overcast clouds,4.1363,96.1285,Kost Pria
33,New Norfolk,AU,57.92,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
34,Bandarbeyla,SO,78.49,broken clouds,9.4942,50.8122,JABIR HOTEL
35,Namibe,AO,66.4,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
38,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
39,Mirzapur,IN,82.36,overcast clouds,25.15,82.5833,Hotel Yash Inn
40,Moree,AU,68.49,broken clouds,-29.4667,149.85,Molika Springs Motel
41,Pisco,PE,59.05,mist,-13.7,-76.2167,Hotel San Isidro Oficial
42,Darnah,LY,75.04,clear sky,32.767,22.6367,فندق الفردوس
43,Cape Town,ZA,62.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
46,Ondo,NG,70.74,overcast clouds,7.1,4.8333,Leisure Spring Hotel
47,Westport,US,75.78,clear sky,41.1415,-73.3579,The Westport Inn
