City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Yima,CN,34.7381,111.8839,75.83,52,5,10.2,clear sky,2022-09-14 02:31:28
1,Chara,RU,56.9064,118.2631,50.27,52,63,4.83,broken clouds,2022-09-14 02:31:29
2,Embonas,GR,36.2269,27.8564,71.83,56,0,17.69,clear sky,2022-09-14 02:31:29
3,Cayenne,GF,4.9333,-52.3333,78.84,89,0,4.61,clear sky,2022-09-14 02:31:30
4,Atuona,PF,-9.8,-139.0333,76.48,70,0,12.64,clear sky,2022-09-14 02:28:25
5,Bengkulu,ID,-3.8004,102.2655,80.44,72,100,1.19,overcast clouds,2022-09-14 02:31:30
6,Vaini,TO,-21.2,-175.2,82.56,74,40,6.91,scattered clouds,2022-09-14 02:31:31
7,Cherskiy,RU,68.75,161.3,36.68,90,100,5.93,overcast clouds,2022-09-14 02:31:31
8,Palmer,US,42.1584,-72.3287,69.46,83,40,6.91,scattered clouds,2022-09-14 02:31:32
9,Rio Grande,BR,-32.035,-52.0986,56.95,94,68,11.36,broken clouds,2022-09-14 02:31:32
10,Rikitea,PF,-23.1203,-134.9692,72.25,72,100,7.63,light rain,2022-09-14 02:31:32
11,Ribeira Grande,PT,38.5167,-28.7,74.8,91,19,15.12,moderate rain,2022-09-14 02:31:33
12,Saint-Pierre,RE,-21.3393,55.4781,65.88,55,0,8.05,clear sky,2022-09-14 02:31:33
13,Northam,GB,51.0333,-4.2167,57.61,94,100,9.57,overcast clouds,2022-09-14 02:31:34
14,Yuli,NG,9.6989,10.2744,69.84,95,92,3.4,overcast clouds,2022-09-14 02:31:34
15,Albany,US,42.6001,-73.9662,60.39,92,34,3.83,scattered clouds,2022-09-14 02:27:33
16,East London,ZA,-33.0153,27.9116,58.05,71,0,9.84,clear sky,2022-09-14 02:31:35
17,Busselton,AU,-33.65,115.3333,56.89,72,93,17.96,overcast clouds,2022-09-14 02:31:35
18,Richards Bay,ZA,-28.783,32.0377,63.39,88,100,6.46,overcast clouds,2022-09-14 02:31:35
19,Stephenville Crossing,CA,48.5,-58.4318,57.33,94,40,5.75,scattered clouds,2022-09-14 02:31:36
20,Mataura,NZ,-46.1927,168.8643,49.48,67,91,5.57,overcast clouds,2022-09-14 02:31:36
21,Arraial Do Cabo,BR,-22.9661,-42.0278,70.05,85,71,16.78,broken clouds,2022-09-14 02:27:34
22,Magadan,RU,59.5667,150.8,54.54,50,100,6.53,overcast clouds,2022-09-14 02:31:37
23,Ginda,IN,30.6945,78.4932,66.4,87,94,2.55,moderate rain,2022-09-14 02:31:37
24,Dingle,PH,10.9995,122.6711,87.08,69,31,10.54,scattered clouds,2022-09-14 02:27:00
25,Kashi,CN,39.4547,75.9797,70.81,35,28,4.47,dust,2022-09-14 02:31:38
26,Norman Wells,CA,65.282,-126.8329,57.24,54,75,4.61,broken clouds,2022-09-14 02:31:38
27,Faanui,PF,-16.4833,-151.75,78.6,74,100,20.83,overcast clouds,2022-09-14 02:31:39
28,Jamestown,US,42.097,-79.2353,57.02,77,0,8.05,clear sky,2022-09-14 02:29:35
29,Chuy,UY,-33.6971,-53.4616,50.63,97,8,6.64,clear sky,2022-09-14 02:31:39
30,Jingdezhen,CN,29.2947,117.2079,86.29,50,19,10.45,few clouds,2022-09-14 02:31:40
31,Tres Passos,BR,-27.4556,-53.9319,50.76,91,17,4.32,few clouds,2022-09-14 02:31:40
32,Meulaboh,ID,4.1363,96.1285,81.09,74,97,2.37,overcast clouds,2022-09-14 02:31:40
33,New Norfolk,AU,-42.7826,147.0587,57.92,51,4,3.0,clear sky,2022-09-14 02:31:41
34,Bandarbeyla,SO,9.4942,50.8122,78.49,76,75,24.38,broken clouds,2022-09-14 02:31:41
35,Namibe,AO,-15.1961,12.1522,66.4,89,94,2.89,overcast clouds,2022-09-14 02:31:41
36,Punta Arenas,CL,-53.15,-70.9167,39.31,75,40,28.77,scattered clouds,2022-09-14 02:31:42
37,Ushuaia,AR,-54.8,-68.3,40.66,81,75,24.16,light rain,2022-09-14 02:27:32
38,Avarua,CK,-21.2078,-159.775,78.85,73,75,13.8,broken clouds,2022-09-14 02:31:42
39,Mirzapur,IN,25.15,82.5833,82.36,88,100,6.31,overcast clouds,2022-09-14 02:31:43
40,Moree,AU,-29.4667,149.85,68.49,45,73,5.73,broken clouds,2022-09-14 02:31:43
41,Pisco,PE,-13.7,-76.2167,59.05,82,50,9.22,mist,2022-09-14 02:31:44
42,Darnah,LY,32.767,22.6367,75.04,60,0,12.77,clear sky,2022-09-14 02:31:44
43,Cape Town,ZA,-33.9258,18.4232,62.11,78,0,4.0,clear sky,2022-09-14 02:27:05
44,Anadyr,RU,64.75,177.4833,43.3,100,75,4.47,light rain,2022-09-14 02:31:45
45,Minas,UY,-34.3759,-55.2377,45.18,96,5,3.18,clear sky,2022-09-14 02:31:45
46,Ondo,NG,7.1,4.8333,70.74,99,100,2.1,overcast clouds,2022-09-14 02:31:46
47,Westport,US,41.1415,-73.3579,75.78,64,0,11.5,clear sky,2022-09-14 02:30:37
48,Yellowknife,CA,62.456,-114.3525,52.32,82,75,6.91,broken clouds,2022-09-14 02:30:06
49,Chiredzi,ZW,-21.05,31.6667,64.87,85,100,10.87,light rain,2022-09-14 02:31:46
50,Nanortalik,GL,60.1432,-45.2371,44.15,76,7,7.43,clear sky,2022-09-14 02:31:47
51,Mamallapuram,IN,12.6264,80.1722,84.25,72,94,15.35,overcast clouds,2022-09-14 02:31:47
52,Karratha,AU,-20.7377,116.8463,79.59,31,0,4.99,clear sky,2022-09-14 02:31:47
53,Kota Belud,MY,6.351,116.4305,85.84,68,45,7.36,scattered clouds,2022-09-14 02:31:48
54,Hobart,AU,-42.8794,147.3294,57.25,52,20,17.27,few clouds,2022-09-14 02:30:03
55,Mahebourg,MU,-20.4081,57.7,69.26,94,40,3.44,scattered clouds,2022-09-14 02:31:49
56,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,5.75,clear sky,2022-09-14 02:31:49
57,Colares,PT,38.7992,-9.4469,69.8,78,59,28.99,broken clouds,2022-09-14 02:31:49
58,Nome,US,64.5011,-165.4064,54.16,82,75,10.36,broken clouds,2022-09-14 02:31:50
59,Cape Coast,GH,5.1053,-1.2466,74.3,92,76,7.02,broken clouds,2022-09-14 02:31:50
60,Cidreira,BR,-30.1811,-50.2056,57.6,94,80,9.71,broken clouds,2022-09-14 02:31:17
61,Komagane,JP,35.7296,137.9396,86.34,55,92,4.5,overcast clouds,2022-09-14 02:31:51
62,Villa Maria,AR,-32.4075,-63.2402,52.83,40,73,3.2,broken clouds,2022-09-14 02:31:51
63,Kapaa,US,22.0752,-159.319,84.52,72,0,12.66,clear sky,2022-09-14 02:31:52
64,Mar Del Plata,AR,-38.0023,-57.5575,49.08,92,100,5.01,overcast clouds,2022-09-14 02:30:05
65,Clyde River,CA,70.4692,-68.5914,37.63,100,100,14.97,light rain,2022-09-14 02:31:52
66,Dikson,RU,73.5069,80.5464,39.02,79,100,23.89,light rain,2022-09-14 02:31:53
67,Rocha,UY,-34.4833,-54.3333,47.71,97,4,4.41,clear sky,2022-09-14 02:31:53
68,Ponta Do Sol,PT,32.6667,-17.1,71.71,79,28,10.6,scattered clouds,2022-09-14 02:31:53
69,Mundwa,IN,27.0667,73.8167,82.83,67,5,11.99,clear sky,2022-09-14 02:31:54
70,Port Elizabeth,ZA,-33.918,25.5701,54.32,98,1,3.44,clear sky,2022-09-14 02:31:54
71,Tromso,NO,69.6496,18.957,42.82,75,75,17.27,broken clouds,2022-09-14 02:31:01
72,Pudozh,RU,61.8099,36.5345,42.98,85,86,5.1,overcast clouds,2022-09-14 02:31:55
73,Georgetown,MY,5.4112,100.3354,84.88,75,20,6.91,few clouds,2022-09-14 02:28:51
74,Gat,IL,31.61,34.7642,75.88,100,65,6.46,broken clouds,2022-09-14 02:31:55
75,Tasiilaq,GL,65.6145,-37.6368,35.76,82,100,4.23,overcast clouds,2022-09-14 02:31:56
76,Gazanjyk,TM,39.2446,55.5154,69.15,15,0,17.45,clear sky,2022-09-14 02:31:56
77,Lorengau,PG,-2.0226,147.2712,85.57,65,98,11.97,overcast clouds,2022-09-14 02:31:57
78,Cockburn Town,TC,21.4612,-71.1419,84.43,73,100,16.6,overcast clouds,2022-09-14 02:31:57
79,Kaitangata,NZ,-46.2817,169.8464,50.29,59,83,8.41,broken clouds,2022-09-14 02:31:58
80,Lavrentiya,RU,65.5833,-171.0,44.82,93,100,2.46,light rain,2022-09-14 02:31:58
81,Grindavik,IS,63.8424,-22.4338,42.75,87,0,8.05,clear sky,2022-09-14 02:29:14
82,Puerto Ayora,EC,-0.7393,-90.3518,65.55,95,85,3.0,overcast clouds,2022-09-14 02:29:46
83,Tongliao,CN,43.6125,122.2653,70.59,35,96,5.77,overcast clouds,2022-09-14 02:31:59
84,Puerto Leguizamo,CO,-0.1934,-74.7819,75.61,74,88,2.86,overcast clouds,2022-09-14 02:32:00
